iter	Passed	Remaining
402	16232	3906
403	16291	3871
404	16344	3833
405	16401	3797
406	16458	3760
407	16514	3723
408	16569	3686
409	16629	3650
410	16684	3612
411	16746	3576
412	16802	3539
413	16862	3502
414	16929	3467
415	16988	3430
416	17048	3393
417	17108	3356
418	17165	3318
419	17218	3279
420	17274	3241
421	17335	3204
422	17393	3166
423	17455	3128
424	17516	3091
425	17574	3052
426	17633	3014
427	17694	2976
428	17745	2936
429	17806	2898
430	17871	2861
431	17930	2822
432	17988	2783
433	18048	2744
434	18100	2704
435	18149	2664
436	18203	2624
437	18262	2585
438	18322	2545
439	18383	2506
440	18439	2466
441	18493	2426
442	18554	2387
443	18616	2348
444	18670	2307
445	18724	2267
446	18777	2226
447	18825	2185
448	18863	2142
449	18921	2102
450	18975	2061
451	19030	2020
452	19094	1981
453	19154	1940
454	19204	1899
455	19257	1858
456	19305	1816
457	19363	1775
458	19417	1734
459	19472	1693
460	19530	1652
461	19589	1611
462	19647	1570
463	19707	1529
464	19754	1486
465	19793	1444
466	19826	1401
467	19883	1359
468	19935	1317
469	20002	1276
470	20051	1234
471	20107	1192
472	20160	1150
473	20218	1109
474	20277	1067
475	20333	1025
476	20391	983
477	20452	941
478	20509	899
479	20567	856
480	20631	814
481	20693	772
482	20754	730
483	20811	687
484	20869	645
485	20929	602
486	20990	560
487	21049	517
488	21103	474
489	21161	431
490	21221	388
491	21267	345
492	21327	302
493	21384	259
494	21446	216
495	21509	173
496	21574	130
497	21634	86
498	21696	43
499	21759	0
