Model,Train_R2,Test_R2,Test_MAE,Test_RMSE,Overfit_Gap
Panel FE Full,0.9961726600976919,0.9571470523522475,59628.20702981145,73290.11916462472,0.03902560774544439
Lasso,0.9834597202135084,0.9548447808302739,55462.07990382648,75233.11689669383,0.02861493938323445
Ridge Deployment,0.9647489637658477,0.932233865032783,64414.866353815545,92164.02559784267,0.032515098733064685
Panel FE Macro,0.989203867257072,0.9129428654591966,76371.12950961324,104461.74152467943,0.07626100179787543
XGBoost,0.9999990182368413,0.9084730853203856,72593.33304763152,107109.86922558336,0.09152593291645572
Random Forest,0.9668119478153335,0.866945993761113,88737.76907039438,129142.46017266133,0.0998659540542205
OLS Baseline,0.3588960524260204,0.23801585829361893,237059.09213497594,309049.49918471073,0.12088019413240148
