iter	Passed	Remaining
402	13420	3230
403	13450	3196
404	13480	3162
405	13510	3128
406	13543	3094
407	13579	3062
408	13612	3028
409	13643	2994
410	13694	2965
411	13732	2933
412	13765	2899
413	13821	2871
414	13854	2837
415	13885	2803
416	13917	2770
417	13946	2735
418	13982	2703
419	14031	2672
420	14061	2638
421	14098	2605
422	14130	2572
423	14163	2538
424	14196	2505
425	14227	2471
426	14257	2437
427	14287	2403
428	14318	2369
429	14349	2335
430	14379	2302
431	14412	2268
432	14443	2234
433	14485	2202
434	14516	2169
435	14548	2135
436	14579	2101
437	14611	2068
438	14643	2034
439	14673	2000
440	14704	1967
441	14734	1933
442	14766	1899
443	14796	1866
444	14827	1832
445	14860	1799
446	14890	1765
447	14923	1732
448	14950	1698
449	14999	1666
450	15033	1633
451	15064	1599
452	15094	1566
453	15125	1532
454	15156	1498
455	15186	1465
456	15217	1431
457	15248	1398
458	15278	1364
459	15312	1331
460	15342	1297
461	15374	1264
462	15405	1231
463	15438	1197
464	15468	1164
465	15499	1130
466	15530	1097
467	15562	1064
468	15592	1030
469	15624	997
470	15654	963
471	15684	930
472	15713	896
473	15743	863
474	15774	830
475	15805	796
476	15839	763
477	15871	730
478	15905	697
479	15940	664
480	15972	630
481	16003	597
482	16041	564
483	16077	531
484	16111	498
485	16143	465
486	16175	431
487	16204	398
488	16234	365
489	16264	331
490	16300	298
491	16331	265
492	16362	232
493	16397	199
494	16426	165
495	16456	132
496	16486	99
497	16522	66
498	16556	33
499	16591	0
