iter	RMSE
247	70848.91403
248	70638.91199
249	70450.13302
250	70153.84836
251	70028.48027
252	69711.43179
253	69610.13286
254	69486.5009
255	69162.30646
256	69020.75751
257	68859.1151
258	68750.85667
259	68550.20656
260	68195.01983
261	67998.6705
262	67843.74037
263	67664.2647
264	67535.97851
265	67370.60606
266	67102.19705
267	66838.64349
268	66667.31403
269	66302.4482
270	66207.82419
271	65991.52047
272	65594.59007
273	65490.93833
274	65275.13486
275	64890.8176
276	64786.50467
277	64612.148
278	64435.87153
279	64396.78785
280	64288.51654
281	64125.01033
282	63958.84916
283	63866.33867
284	63670.78837
285	63397.90348
286	63114.20426
287	62956.26561
288	62887.8675
289	62509.2836
290	62396.86647
291	62123.55731
292	61976.51559
293	61634.27705
294	61368.82284
295	61337.29383
296	61281.24756
297	61161.83563
298	60899.89165
299	60743.30921
300	60454.13603
301	60269.88525
302	60148.949
303	59902.68244
304	59773.77198
305	59703.80194
306	59472.13376
307	59183.64002
308	58957.52243
309	58931.68505
310	58779.01555
311	58688.84932
312	58438.8518
313	58357.60397
314	58093.77124
315	58000.00431
316	57977.61084
317	57763.38394
318	57511.33947
319	57367.81825
320	57300.81433
321	56980.40934
322	56742.90062
323	56719.96378
324	56618.67826
325	56423.7008
326	56263.42893
327	56168.46739
328	56148.25092
329	56055.84562
330	55800.57527
331	55558.16239
332	55437.24917
333	55416.28051
334	55171.50166
335	55089.99682
336	54898.47628
337	54863.92533
338	54648.68692
339	54487.76805
340	54330.88089
341	54243.11536
342	54120.90403
343	54006.12915
344	53922.11239
345	53867.70909
346	53756.63992
347	53493.9745
348	53472.63968
349	53291.49581
350	53071.59361
351	52957.54512
352	52882.27807
353	52751.09643
354	52597.89689
355	52479.32146
356	52223.05841
357	52150.89031
358	51949.90424
359	51856.28598
360	51816.54573
361	51751.42059
362	51734.51483
363	51472.05945
364	51411.40884
365	51340.8797
366	51271.36782
367	51073.01209
368	50947.31216
369	50922.19172
370	50719.14649
371	50647.63075
372	50623.10225
373	50571.29684
374	50460.3235
375	50361.20157
376	50291.04001
377	50229.03205
378	50201.25814
379	50129.53315
380	50045.78639
381	49849.78989
382	49784.8431
383	49587.79305
384	49333.56546
385	49173.96905
386	49158.61124
387	49048.45956
388	49033.96257
389	48874.58862
390	48837.95722
391	48680.72191
392	48636.89885
393	48461.08738
394	48250.54889
395	48182.39799
396	48028.98031
397	47818.69593
398	47666.07839
399	47525.31038
400	47423.70411
401	47418.06152
402	47340.12526
403	47267.04256
404	47210.33479
405	47197.7825
406	46925.04334
407	46755.12944
408	46729.58206
409	46712.6707
410	46582.56956
411	46402.40095
412	46136.27861
413	46117.15686
414	46058.01881
415	45906.71416
416	45873.79237
417	45803.36562
418	45759.17024
419	45554.12422
420	45294.80264
421	45215.33753
422	45115.89624
423	45099.2649
424	44998.73198
425	44923.95351
426	44800.42224
427	44648.5121
428	44497.85516
429	44256.77408
430	44207.72141
431	44022.55615
432	43962.02962
433	43832.86429
434	43695.33469
435	43642.89485
436	43555.68289
437	43412.74717
438	43194.48501
439	43165.38488
440	43021.51477
441	42913.19775
442	42749.10947
443	42737.589
444	42701.45571
445	42684.6562
446	42612.3667
447	42594.18413
448	42568.89544
449	42556.13442
450	42378.63249
451	42327.00752
452	42214.11295
453	42053.82566
454	42002.42111
455	41984.13383
456	41846.61605
457	41714.99071
458	41696.14398
459	41647.95525
460	41392.15089
461	41205.36623
462	41124.91875
463	41081.73687
464	41069.56855
465	40891.01476
466	40842.79161
467	40802.24695
468	40678.52285
469	40542.24734
470	40381.5239
471	40211.11496
472	39970.3171
473	39935.60963
474	39865.9978
475	39797.81398
476	39630.55838
477	39614.52263
478	39492.59589
479	39405.06844
480	39389.97018
481	39255.51185
482	39172.30318
483	39045.13607
484	39035.21781
485	38912.82352
486	38755.24114
487	38742.35361
488	38681.67446
489	38675.65811
490	38580.73373
491	38572.37003
492	38561.28884
493	38458.28924
494	38452.60015
495	38440.69649
496	38377.5132
497	38216.91434
498	38180.41328
499	38098.02166
